Railcard,Payment Method,Departure Station,Price,Refund Request
Adult,Contactless,London Paddington,43,No
Adult,Credit Card,London Kings Cross,23,No
None,Credit Card,Liverpool Lime Street,3,No
None,Credit Card,London Paddington,13,No
None,Contactless,Liverpool Lime Street,76,No
None,Credit Card,London Kings Cross,35,No
Adult,Credit Card,London Euston,2,No
Disabled,Contactless,Liverpool Lime Street,2,No
None,Credit Card,London Euston,37,No
None,Credit Card,London Paddington,13,No
None,Contactless,York,8,No
Adult,Contactless,London Paddington,8,No
None,Contactless,Manchester Piccadilly,3,No
None,Contactless,Manchester Piccadilly,3,No
Disabled,Credit Card,Birmingham New Street,15,No
None,Credit Card,London Paddington,13,No
None,Credit Card,London Paddington,13,No
None,Credit Card,London St Pancras,8,No
None,Credit Card,London Kings Cross,35,No
None,Credit Card,London Kings Cross,35,No
Adult,Debit Card,Birmingham New Street,7,Yes
Disabled,Credit Card,Liverpool Lime Street,2,No
Senior,Credit Card,London Kings Cross,23,No
None,Contactless,London Euston,7,No
None,Credit Card,London Euston,7,No
None,Contactless,Manchester Piccadilly,86,No
Senior,Credit Card,Oxford,34,Yes
None,Credit Card,London Paddington,13,No
None,Contactless,London Euston,7,No
None,Credit Card,London Kings Cross,57,No
None,Debit Card,London St Pancras,8,No
None,Credit Card,London Paddington,13,No
None,Contactless,London Kings Cross,35,No
None,Credit Card,Birmingham New Street,5,No
None,Contactless,London Euston,10,No
None,Contactless,Manchester Piccadilly,4,No
None,Contactless,London St Pancras,12,No
None,Credit Card,Birmingham New Street,33,No
Adult,Credit Card,Liverpool Lime Street,3,No
None,Credit Card,London Euston,7,No
None,Credit Card,Manchester Piccadilly,4,No
Disabled,Credit Card,Liverpool Lime Street,4,No
None,Credit Card,London Kings Cross,70,No
None,Contactless,London Kings Cross,70,No
None,Credit Card,London St Pancras,16,No
None,Credit Card,Manchester Piccadilly,134,No
Disabled,Credit Card,Birmingham New Street,29,No
Adult,Contactless,London Kings Cross,47,No
None,Credit Card,London Kings Cross,70,No
None,Credit Card,London Paddington,6,No
None,Credit Card,London Kings Cross,70,No
None,Credit Card,Liverpool Lime Street,151,No
None,Credit Card,London St Pancras,16,No
None,Credit Card,Manchester Piccadilly,7,No
None,Contactless,London Paddington,25,No
None,Credit Card,London Paddington,25,No
None,Credit Card,Liverpool Lime Street,5,No
Disabled,Credit Card,Birmingham New Street,15,No
Disabled,Credit Card,London St Pancras,21,No
None,Credit Card,Manchester Piccadilly,3,No
Senior,Credit Card,London Euston,7,No
None,Credit Card,Manchester Piccadilly,134,No
None,Credit Card,London Kings Cross,53,No
Senior,Contactless,Manchester Piccadilly,3,No
None,Contactless,London St Pancras,12,No
None,Contactless,London Paddington,19,No
Senior,Contactless,Manchester Piccadilly,3,No
Adult,Credit Card,London Euston,9,No
None,Credit Card,Liverpool Lime Street,151,No
None,Contactless,Liverpool Lime Street,20,No
None,Credit Card,Manchester Piccadilly,19,No
None,Credit Card,London St Pancras,8,No
Adult,Credit Card,Liverpool Lime Street,4,No
None,Credit Card,London St Pancras,54,No
None,Credit Card,London St Pancras,16,No
Disabled,Debit Card,London Euston,35,No
Adult,Credit Card,London St Pancras,5,No
None,Debit Card,London St Pancras,8,No
None,Credit Card,London St Pancras,54,No
None,Credit Card,London St Pancras,8,No
None,Contactless,London Kings Cross,57,No
None,Credit Card,Manchester Piccadilly,3,No
None,Credit Card,Manchester Piccadilly,10,No
None,Contactless,Liverpool Lime Street,3,No
Adult,Contactless,Manchester Piccadilly,6,No
None,Credit Card,London St Pancras,54,No
Adult,Credit Card,Oxford,17,No
None,Contactless,York,11,No
Adult,Credit Card,Manchester Piccadilly,84,No
None,Contactless,York,11,No
